,Variable,Count
0,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|33.0th Percentile,1202
1,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|5.0th Percentile,1202
2,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|50.0th Percentile,1202
3,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|67.0th Percentile,1202
4,AR6 climate diagnostics|Effective Radiative Forcing|MAGICCv7.5.3|95.0th Percentile,1202
5,AR6 climate diagnostics|Emissions|Kyoto Gases (AR5-GWP100),1202
6,AR6 climate diagnostics|Emissions|Kyoto Gases (AR6-GWP100),1202
7,AR6 climate diagnostics|Exceedance Probability 1.5C|MAGICCv7.5.3,1202
8,AR6 climate diagnostics|Exceedance Probability 2.0C|MAGICCv7.5.3,1202
9,AR6 climate diagnostics|Exceedance Probability 2.5C|MAGICCv7.5.3,1202
10,AR6 climate diagnostics|Exceedance Probability 3.0C|MAGICCv7.5.3,1202
11,AR6 climate diagnostics|Harmonized|Emissions|CO2,16
12,AR6 climate diagnostics|Harmonized|Emissions|Kyoto Gases (AR5-GWP100),1202
13,AR6 climate diagnostics|Harmonized|Emissions|Kyoto Gases (AR6-GWP100),1202
14,AR6 climate diagnostics|Infilled|Emissions|CO2,1202
15,AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR5-GWP100),1202
16,AR6 climate diagnostics|Infilled|Emissions|Kyoto Gases (AR6-GWP100),1202
17,AR6 climate diagnostics|Native-with-Infilled|Emissions|CO2,16
18,AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR5-GWP100),1202
19,AR6 climate diagnostics|Native-with-Infilled|Emissions|Kyoto Gases (AR6-GWP100),1202
20,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|10.0th Percentile,1202
21,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|16.7th Percentile,1202
22,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|33.0th Percentile,1202
23,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|5.0th Percentile,1202
24,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|50.0th Percentile,1202
25,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|67.0th Percentile,1202
26,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|83.3th Percentile,1202
27,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|90.0th Percentile,1202
28,AR6 climate diagnostics|Surface Temperature (GSAT)|MAGICCv7.5.3|95.0th Percentile,1202
29,Agricultural Demand,635
30,Agricultural Demand|Crops,505
31,Agricultural Demand|Crops|Energy,512
32,Agricultural Demand|Crops|Energy|1st generation,446
33,Agricultural Demand|Crops|Energy|2nd generation,446
34,Agricultural Demand|Crops|Feed,517
35,Agricultural Demand|Crops|Food,483
36,Agricultural Demand|Crops|Other,517
37,Agricultural Demand|Livestock,541
38,Agricultural Demand|Livestock|Food,484
39,Agricultural Demand|Livestock|Other,518
40,Agricultural Production,590
41,Agricultural Production|Energy,478
42,Agricultural Production|Energy|Crops,600
43,Agricultural Production|Energy|Residues,182
44,Agricultural Production|Non-Energy,584
45,Agricultural Production|Non-Energy|Crops,650
46,Agricultural Production|Non-Energy|Livestock,678
47,Capacity Additions|Electricity|Biomass,734
48,Capacity Additions|Electricity|Biomass|w/ CCS,741
49,Capacity Additions|Electricity|Biomass|w/o CCS,745
50,Capacity Additions|Electricity|Coal,734
51,Capacity Additions|Electricity|Coal|w/ CCS,774
52,Capacity Additions|Electricity|Coal|w/o CCS,779
53,Capacity Additions|Electricity|Fossil,734
54,Capacity Additions|Electricity|Gas,734
55,Capacity Additions|Electricity|Gas|w/ CCS,775
56,Capacity Additions|Electricity|Gas|w/o CCS,779
57,Capacity Additions|Electricity|Geothermal,400
58,Capacity Additions|Electricity|Hydro,770
59,Capacity Additions|Electricity|Non-Biomass Renewables,779
60,Capacity Additions|Electricity|Nuclear,779
61,Capacity Additions|Electricity|Oil,510
62,Capacity Additions|Electricity|Oil|w/ CCS,373
63,Capacity Additions|Electricity|Oil|w/o CCS,510
64,Capacity Additions|Electricity|Renewables (incl. Biomass),779
65,Capacity Additions|Electricity|Solar,734
66,Capacity Additions|Electricity|Solar|CSP,697
67,Capacity Additions|Electricity|Solar|PV,779
68,Capacity Additions|Electricity|Storage Capacity,440
69,Capacity Additions|Electricity|Wind,779
70,Capacity Additions|Electricity|Wind|Offshore,514
71,Capacity Additions|Electricity|Wind|Onshore,555
72,Capacity|Electricity,919
