,Model,Full set,Emissions,Primary Energy,Electricity Generation,Sector Industry,Sector Transportation,Sector Residential,Hydrogen,Secondary Energy Liquids
0,Total,505,754,1022,1118,818,832,812,564,1017
1,MESSAGE,184,190,252,246,201,218,191,190,238
2,REMIND-MAgPIE,173,229,248,297,249,227,227,224,296
3,POLES,80,89,104,114,89,103,89,80,113
4,IMAGE,68,104,132,142,88,104,88,70,134
5,AIM,0,7,55,49,36,36,41,0,49
6,C-ROADS-5.005,0,0,0,0,0,0,0,0,0
7,COFFEE 1.1,0,0,65,65,65,65,0,0,65
8,EPPA 6,0,0,0,0,0,0,0,0,0
9,GCAM,0,45,6,44,45,0,45,0,14
10,GEM-E3_V2021,0,0,0,0,0,0,0,0,0
11,MERGE-ETL 6.0,0,0,1,1,0,0,0,0,1
12,TIAM-ECN 1.1,0,0,45,45,45,0,45,0,0
13,WITCH,0,90,114,115,0,79,86,0,107
